start,end,speaker
4.27,9.87,SPEAKER_00
10.98,12.27,SPEAKER_00
12.67,15.25,SPEAKER_00
15.96,18.26,SPEAKER_00
18.8,21.24,SPEAKER_00
22.19,24.2,SPEAKER_00
24.85,28.18,SPEAKER_00
29.41,33.26,SPEAKER_00
34.1,35.3,SPEAKER_00
35.52,39.05,SPEAKER_00
39.69,45.0,SPEAKER_00
46.1,50.32,SPEAKER_00
50.86,53.04,SPEAKER_00
53.78,56.28,SPEAKER_00
56.49,57.71,SPEAKER_00
58.98,62.3,SPEAKER_00
62.49,65.79,SPEAKER_00
66.92,72.34,SPEAKER_00
73.64,78.97,SPEAKER_00
79.56,83.21,SPEAKER_00
83.9,89.25,SPEAKER_00
91.11,106.11,SPEAKER_00
106.93,112.59,SPEAKER_00
113.65,118.83,SPEAKER_00
119.1,120.94,SPEAKER_00
121.28,122.61,SPEAKER_00
123.64,127.18,SPEAKER_00
128.31,130.83,SPEAKER_00
132.55,136.55,SPEAKER_00
136.97,142.46,SPEAKER_00
143.37,148.73,SPEAKER_00
149.02,150.64,SPEAKER_00
152.04,153.54,SPEAKER_00
153.86,155.84,SPEAKER_00
156.61,158.3,SPEAKER_00
158.94,160.93,SPEAKER_00
160.95,162.37,SPEAKER_00
163.79,170.35,SPEAKER_00
